Algorithm ,Description,Data Type,Alphanumeric,Geospatial,Image,Audio
ZeroR,"ZeroR is a simple classification algorithm that serves as a baseline model in machine learning. It predicts the most frequent class or value in the training dataset without considering any input features. ZeroR does not provide any insight into the data patterns but is often used to set a benchmark for evaluating the performance of more complex models. Its main purpose is to show how well a model can perform by just guessing the majority class, highlighting whether other algorithms offer meaningful improvements.",Alphanumeric,1,0,0,0
One-R,"One-R (One Rule) is a simple and interpretable machine learning algorithm that creates a single rule for classification based on one feature. It evaluates each feature in the dataset and creates a rule that predicts the target class based on the most frequent class for each feature value. The feature with the lowest error rate is selected as the rule for the entire model. Although it is a basic algorithm, One-R often performs surprisingly well and serves as a baseline for evaluating more complex models.",Alphanumeric,1,0,0,0
Decision Table Naive Bayes (DTNB),"DTNB (Decision Table Naive Bayes) is a hybrid machine learning algorithm that combines the strengths of two models: Decision Tables and Naive Bayes. It works by splitting the dataset into two parts: one is used to build a Decision Table (a rule-based classifier), and the other is used for Naive Bayes (a probabilistic classifier). DTNB aims to achieve better predictive performance by leveraging the rule-based approach's simplicity in handling structured data, along with Naive Bayes’ strength in probabilistic reasoning. This combination often results in a model that is both accurate and efficient.",Alphanumeric,1,0,0,0
Ripple Down Rule learner (RIDOR),"Ripple Down Rule learner (RIDOR) is a rule-based machine learning algorithm that creates an ordered set of rules to classify instances. It starts by generating default rules to classify the majority class and then creates exceptions for misclassified instances. RIDOR refines the rules iteratively, adding exceptions and exceptions to exceptions as necessary, which allows it to handle complex datasets",Alphanumeric,1,0,0,0
Repeated Incremental Pruning to Produce Error Reduction (RIPPER),"Repeated Incremental Pruning to Produce Error Reduction (RIPPER) is a rule-based machine learning algorithm designed for efficient classification, particularly on large datasets. It works by generating an initial set of rules from the training data, then incrementally refining and pruning these rules to reduce errors and improve generalization. ",Alphanumeric,1,0,0,0
Simple and multiple linear regression,"This is one of the most popular ML modeling techniques as well as a well-known regression technique. In this technique, the dependent variable is continuous, the independent variable(s) can be continuous or discrete, and the form of the regression line is linear. Linear regression creates a relationship between the dependent variable (Y) and one or more independent variables (X) (also known as regression line) using the best ft straight line .",Alphanumeric,1,0,0,0
Ordinary Least Squares regression (OLS),"Ordinary Least Squares regression (OLS) is a common technique for estimating coefficients of linear regression equations which describe the relationship between one or more independent quantitative variables and a dependent variable (simple or multiple linear regression), often evaluated using r-squared. Least squares stand for the minimum squares error (SSE). Maximum likelihood and Generalized method of moments estimator are alternative approaches to OLS",Alphanumeric,1,0,0,0
Stepwise Regression,Stepwise regression is the step-by-step iterative construction of a regression model that involves the selection of independent variables to be used in a final model. It involves adding or removing potential explanatory variables in succession and testing for statistical significance after each iteration.,Alphanumeric,1,0,0,0
Multivariate Adaptive Regression Splines (MARS),"MARS (Multivariate Adaptive Regression Splines) is a regression technique that models complex, nonlinear relationships by fitting piecewise linear regressions. It divides the data into regions and applies different regression functions within each region. MARS automatically selects and prunes these functions to prevent overfitting, making it a powerful tool for capturing nonlinear patterns while remaining interpretable.",Alphanumeric,1,0,0,0
Locally Estimated Scatterplot Smoothing (LOESS),"LOESS (Locally Estimated Scatterplot Smoothing) is a non-parametric regression technique that fits smooth curves to data by applying local weighted regression. It estimates the relationship between variables by fitting simple models, like linear or quadratic regressions, to small localized subsets of the data. The smoothing parameter determines how much of the data around each point is used for fitting, allowing LOESS to capture complex, nonlinear trends while maintaining flexibility. It's particularly useful for data where the relationship between variables changes over different regions.",Alphanumeric,1,0,0,0
Logistic regression (LR),"Another common probabilistic based statistical model used to solve classification issues in machine learning is Logistic Regression (LR) . Logistic regression typically uses a logistic function to estimate the probabilities, It can overfit high-dimensional datasets and works well when the dataset can be separated linearly. The regularization (L1 and L2) techniques  can be used to avoid over-fitting in such scenarios. The assumption of linearity between the dependent and independent variables is considered as a major drawback of Logistic Regression. It can be used for both classification and regression problems, but it is more commonly used for classification. ",Alphanumeric,1,0,0,0
Lasso Regression,Lasso regression algorithm works by obtaining the subset of predictors that minimizes prediction error for a response variable. This is achieved by imposing a constraint on data points and allowing some of them to shrink to zero value. The lasso regression is used to obtain the subset of predictors that helps in minimising the error in prediction. Lasso puts a constraint on the model parameters  that make the regression coefficients shrink to zero.,Alphanumeric,1,0,0,0
Ridge Regression ,"Ridge regression is a type of linear regression that incorporates regularization to prevent overfitting by adding a penalty term to the model. This penalty, also known as the L2 regularization, is the sum of the squared coefficients multiplied by a tuning parameter (lambda). By shrinking the regression coefficients toward zero, ridge regression reduces their variance, helping to improve model stability and performance, especially when dealing with multicollinearity or when the number of predictors exceeds the number of observations.",Alphanumeric,1,0,0,0
K-means clustering,"K-means clustering is a fast, robust, and simple algorithm that provides reliable results when data sets are well-separated from each other. The data points are allocated to a cluster in this algorithm in such a way that the amount of the squared distance between the data points and the centroid is as small as possible. In other words, the K means algorithm identifies the k number of centroids and then assigns each data point to the nearest cluster while keeping the centroids as small as possible. Since it begins with a random selection of cluster centers, the results can be inconsistent. Since extreme values can easily affect a mean, the K-means clustering algorithm is sensitive to outliers. ",Alphanumeric,1,0,0,0
K-Medoids,"K-Medoids is a clustering algorithm similar to K-Means, but instead of using the mean to define cluster centers, it selects actual data points (medoids) as cluster centers. The medoid is the most centrally located point within a cluster, minimizing the sum of dissimilarities between itself and all other points in the cluster. K-Medoids is more robust than K-Means, especially when dealing with noise or outliers, because it minimizes a more general loss function that doesn't rely on averages. This makes K-Medoids effective in applications where using actual representative points is important.",Alphanumeric,1,0,0,0
Clustering LARge Applications  (CLARA),"CLARA (Clustering LARge Applications) is a clustering algorithm designed to efficiently handle large datasets. It is an extension of the K-Medoids algorithm and works by taking a representative sample of the data to form clusters. CLARA first randomly selects a subset of the data, applies the K-Medoids algorithm to find medoids, and then assigns the remaining data points to the nearest medoid. This process is repeated multiple times to ensure robustness, and the best clustering solution is chosen based on the overall quality of the clusters. CLARA is particularly effective for large datasets where traditional clustering methods may be computationally expensive or infeasible.",Alphanumeric,1,0,0,0
DBSCAN," Density-based spatial clustering of applications with noise (DBSCAN) is a base algorithm for density-based clustering which is widely used in data mining and machine learning. This is known as a nonparametric density-based clustering technique for separating high-density clusters from low-density clusters that are used in model building. DBSCAN’s main idea is that a point belongs to a cluster if it is close to many points from that cluster. It can find clusters of various shapes and sizes in a vast volume of data that is noisy and contains outliers. DBSCAN, unlike k-means, does not require a priori specification of the number of clusters in the data and can find arbitrarily shaped clusters.","Alphanumeric, Geospatial",1,1,0,0
Ordering Points To Identify the Clustering Structure (OPTICS),"OPTICS (Ordering Points To Identify the Clustering Structure) is a clustering algorithm that extends DBSCAN by identifying clusters of varying densities without requiring predefined parameters. It organizes the data points into an ordering based on their reachability distances, capturing the cluster structure in a hierarchical manner. This allows users to visualize the clustering results and choose appropriate levels of clustering. OPTICS is effective for handling noise and outliers, making it suitable for complex datasets with varying densities","Alphanumeric, Geospatial",1,1,0,0
Statistical Information Grid (STING),"The STING (Statistical Information Grid) algorithm is a grid-based data mining technique that partitions the data space into cells, each containing statistical summaries like mean and variance. It efficiently reduces the dataset size, enabling quick statistical analysis and clustering. By allowing hierarchical query processing, STING can identify data density in different regions, making it suitable for large spatial datasets. Overall, it enhances computational efficiency while extracting meaningful patterns from data.","Alphanumeric, Geospatial, Image",1,1,1,0
Clustering In QUEst (CLIQUE),"CLIQUE (Clustering In QUEst) is a clustering algorithm designed for high-dimensional data. It partitions the data space into overlapping hypercubes to identify dense regions containing a minimum number of points. By combining clustering with dimensionality reduction, CLIQUE effectively discovers clusters in high-dimensional datasets where traditional methods may struggle, making it useful for data mining and exploratory analysis.","Alphanumeric, Geospatial",1,1,0,0
GMM clustering,"Gaussian mixture models (GMMs) are often used for data clustering, which is a distribution based clustering algorithm. A Gaussian mixture model is a probabilistic model in which all the data points are produced by a mixture of a finite number of Gaussian distributions with unknown parameters. To find the Gaussian parameters for each cluster, an optimization algorithm called expectation-maximization (EM) can be used. EM is an iterative method that uses a statistical model to estimate the parameters. In contrast to k-means, Gaussian mixture models account for uncertainty and return the likelihood that a data point belongs to one of the k clusters. GMM clustering is more robust than k-means and works well even with non-linear data distributions.","Alphanumeric, Geospatial",1,1,0,0
COP K-means,"COP K-means (Clustering of Partitions K-means) is a variation of the K-means algorithm that improves clustering quality by dividing the dataset into smaller partitions and applying K-means to each partition individually. This approach enhances efficiency and scalability, allowing for better handling of large datasets and potentially leading to improved clustering outcomes in complex data scenarios.",Alphanumeric,1,0,0,0
CMWK-Means,"CMWK-Means (Clustered Multi-Weighted K-Means) is a variant of the K-means algorithm that incorporates multi-weighted data to improve clustering performance. By assigning different weights to data points based on their importance, CMWK-Means enhances the clustering results, especially in imbalanced or heterogeneous datasets, leading to more meaningful and accurate clusters compared to traditional K-means.",Alphanumeric,1,0,0,0
Principal component analysis (PCA),It is primarily used for reducing dimensionality of data set. It helps in reducing the number of features of the data set or the number of independent variables in the data set. It uses orthogonal transformation to convert correlated variables into a set of linearly uncorrelated variables called principal components,"Alphanumeric, Image",1,0,1,0
Linear Discriminant Analysis (LDA),"Linear Discriminant Analysis (LDA) is a linear decision boundary classifer created by ftting class conditional densities to data and applying Bayes’ rule . This method is also known as a generalization of Fisher’s linear discriminant, which projects a given dataset into a lower-dimensional space, i.e., a reduction of dimensionality that minimizes Fig. 3 A general structure of a machine learning based predictive model considering both the training and testing phase 160 Page 6 of 21 SN Computer Science (2021) 2:160 SN Computer Science the complexity of the model or reduces the resulting model’s computational costs. The standard LDA model usually suits each class with a Gaussian density, assuming that all classes share the same covariance matrix [82]. LDA is closely related to ANOVA (analysis of variance) and regression analysis, which seek to express one dependent variable as a linear combination of other features or measurements.",Alphanumeric,1,0,0,0
Partial Least Squares Regression (PLSR) ,"Partial Least Squares Regression (PLSR) is a dimensionality reduction technique that identifies linear relationships between a set of independent variables and one or more dependent variables. It transforms the original predictors into a smaller set of uncorrelated latent variables, which capture the most variance in the data. By projecting the data into this new space, PLSR effectively addresses multicollinearity and overfitting issues. It is widely used in fields like chemometrics and genomics for analyzing high-dimensional datasets",Alphanumeric,1,0,0,0
Sammon Mapping,"Sammon Mapping is a nonlinear dimensionality reduction technique used to visualize high-dimensional data by preserving the pairwise distances between data points in a lower-dimensional space, typically two or three dimensions. Unlike linear methods like Principal Component Analysis (PCA), Sammon Mapping focuses on maintaining the structure of the data, making it effective for capturing complex relationships. The algorithm minimizes a stress function that measures the differences in distances between the original and lower-dimensional representations through iterative optimization. It is widely used in exploratory data analysis and pattern recognition to better understand and visualize intricate datasets.",Alphanumeric,1,0,0,0
Flexible Discriminant Analysis (FDA),"Flexible Discriminant Analysis (FDA) is a classification method that extends traditional discriminant analysis by allowing for non-linear decision boundaries. Unlike linear models, FDA can capture complex relationships between predictor variables and class memberships using kernel methods. This flexibility makes FDA suitable for datasets where classes are not easily separable, enhancing classification accuracy in various applications, such as bioinformatics and marketing.",Alphanumeric,1,0,0,0
Quadratic Discriminant Analysis (QDA) ,"Quadratic Discriminant Analysis (QDA) is a statistical classification technique that extends Linear Discriminant Analysis (LDA) by allowing for non-linear decision boundaries. Unlike LDA, which assumes that the predictors for each class share the same covariance matrix, QDA allows each class to have its own covariance matrix, resulting in a quadratic decision boundary. This flexibility enables QDA to model more complex relationships in the data, making it effective for classifying datasets where classes are not linearly separable. However, this increased flexibility also requires a larger sample size to estimate the covariance matrices accurately.",Alphanumeric,1,0,0,0
Mixture Discriminant Analysis (MDA),"Mixture Discriminant Analysis (MDA) is a classification technique that combines mixture modeling with discriminant analysis, assuming that the data for each class comes from a mixture of probability distributions, typically Gaussian. This approach offers flexibility by accommodating multiple underlying distributions for each class, making it suitable for heterogeneous datasets. MDA uses methods like the Expectation-Maximization (EM) algorithm to estimate parameters and provides a probabilistic framework for classifying observations based on the highest posterior probability. It is particularly effective in real-world applications where single distribution assumptions may not accurately represent class structures.",Alphanumeric,1,0,0,0
Regularized Discriminant Analysis (RDA) ,"Regularized Discriminant Analysis (RDA) is a classification method that enhances traditional discriminant analysis by incorporating regularization to improve stability and prevent overfitting, particularly in small sample sizes or high-dimensional datasets. RDA offers flexibility by allowing a continuous trade-off between linear and quadratic decision boundaries through a regularization parameter. This approach helps to stabilize covariance matrix estimates, leading to improved generalization and classification performance. RDA is commonly used in fields like bioinformatics and finance, where robust classification in complex data scenarios is essential",Alphanumeric,1,0,0,0
Projection Pursuit ,"Projection Pursuit is a statistical technique used for dimensionality reduction and data visualization that seeks to identify low-dimensional projections of high-dimensional data that reveal interesting structures or patterns. The method involves searching for optimal linear combinations of the original variables, known as projections, that maximize a specific criterion, often related to the non-normality or complexity of the projected data. By focusing on projections that highlight features like clusters or outliers, Projection Pursuit provides insights into the underlying structure of complex datasets.",Alphanumeric,1,0,0,0
Multidimensional Scaling (MDS) ,"Multidimensional Scaling (MDS) is a statistical technique used to visualize the similarities or dissimilarities among a set of objects in a lower-dimensional space, typically two or three dimensions. It starts with a distance matrix that quantifies the pairwise dissimilarities between objects and seeks to position them in such a way that the distances in the lower-dimensional representation closely reflect these original dissimilarities. There are two main types of MDS: classical MDS, which uses linear transformations, and non-metric MDS, which preserves the rank order of distances. MDS is widely applied in fields like psychology, marketing, and bioinformatics to explore and visualize complex datasets, helping to identify patterns and relationships.",Alphanumeric,1,0,0,0
Multi-layer perceptron (MLP),Supervised learning algorithm A feed-forward fully connected artifcial neural network Computationally expensive to solve a complex problem,Alphanumeric,1,0,0,0
"Convolutional neural network (CNN, or ConvNet)","Regularized version of multi-layer perceptrons Can automatically learn or detect the key features from data Typically deal with the variability of 2D shapes, e.g., image","Alphanumeric, Geospatial, Image",1,1,1,0
Long short-term memory recurrent neural network (LSTM-RNN),"Well-suited for learning and analyzing the sequential data Preferred for NLP tasks, speech processing, and making predictions based on time-series data","Alphanumeric, Audio",1,0,0,1
Self-organizing map (SOM),Follows an unsupervised learning approach A dimensionality reduction algorithm used for clustering and mapping high-dimensional dataset as low-dimensional,"Alphanumeric, Image",1,0,1,0
Auto-encoder (AE),An unsupervised learning algorithm that learns a representation ofthe inputs and is deterministic To signifcantly reduce the noise in the input data,"Alphanumeric, Image, Audio",1,0,1,1
Restricted Boltzmann machine (RBM),An unsupervised learning algorithm that learns the statistical distribution and is probabilistic or stochastic Used for feature selection and feature extraction Constitute the building blocks of deep-belief networks,"Alphanumeric, Image",1,0,1,0
Deep belief networks (DBN),A probabilistic generative model with multiple RBMs The ability to encode richer and higher order network structures and can work in either an unsupervised or a supervised setting Can be used in a large number of high-dimensional data applications,"Alphanumeric, Image, Audio",1,0,1,1
Generative adversarial network (GAN),"A form of generative model typically used for unsupervised learning Generate new, synthetic instances of data with characteristics close to the actual data input To make the deep learning models more robust","Alphanumeric, Image, Audio",1,0,1,1
Deep transfer learning (DTL or deep TL),"To solve the basic problem of insufcient training data Use the pre-trained model and knowledge is transferred from one model to another Various advantages in modeling like saving training time, improving the accuracy of output, and the need for lesser training data","Alphanumeric, Image, Audio",1,0,1,1
Deep reinforcement learning (DRL),Follow the way how humans learn from experience Combines reinforcement learning (RL) algorithms like Q-learning and deep learning Can be used to solve very complex problems that cannot be solved by conventional techniques,"Alphanumeric, Image, Audio",1,0,1,1
"Agrawal, Imielinski, and Swami (AIS)","AIS is the first algorithm for association rule mining. The AIS algorithm’s main downside is that too many candidate item sets are generated, requiring more space and wasting a lot of effort. This algorithm calls for too many passes over the entire dataset to produce the rules.",Alphanumeric,1,0,0,0
Set-based Association Rule Mining (SETM),"SETM (Set-based Association Rule Mining) is an algorithm designed for efficiently discovering association rules in large transactional databases by identifying frequently occurring itemsets. It employs a set-based approach, using data structures to represent itemsets, which allows for faster comparisons and computations compared to traditional methods. The algorithm reduces the number of transactions processed by maintaining a relevant subset, enhancing efficiency. After identifying frequent itemsets, SETM generates association rules and evaluates their strength using metrics like support, confidence, and lift, making it effective for applications such as market basket analysis.",Alphanumeric,1,0,0,0
Apriori,"The term ‘Apriori’ usually refers to having prior knowledge of frequent item set properties. Apriori uses a “bottom-up” approach, where it generates the candidate item sets. To reduce the search space, Apriori uses the property “all subsets of a frequent itemset must be frequent; and if an itemset is infrequent, then all its supersets must also be infrequent”. Another approach predictive Apriori can also generate rules; however, it receives unexpected results as it combines both the support and confdence.The Apriori is the widely applicable techniques in mining association rules.",Alphanumeric,1,0,0,0
Equivalence Class Clustering and bottomup Lattice Traversal (ECLAT),"ECLAT uses a depth-frst search to fnd frequent itemsets. In contrast to the Apriori [8] algorithm, which represents data in a horizontal pattern, it represents data vertically. Hence, the ECLAT algorithm is more efcient and scalable in the area of association rule learning. This algorithm is better suited for small and medium datasets whereas the Apriori algorithm is used for large datasets.",Alphanumeric,1,0,0,0
FP-Growth,"Another common association rule learning technique based on the frequent-pattern tree (FP-tree) is Frequent Pattern Growth, known as FP-Growth. The key diference with Apriori is that while generating rules, the Apriori algorithm generates frequent candidate itemsets; on the other hand,the FP-growth algorithm prevents candidate generation and thus produces a tree by the successful strategy of ‘divide and conquer’ approach. Due to its sophistication, however, FP-Tree is challenging to use in an interactive mining environment . Thus, the FP-Tree would not fit into memory for massive data sets, making it challenging to process big data as well.",Alphanumeric,1,0,0,0
Rapid Association Rule Mining (RARM),"RARM (Rapid Association Rule Mining) is an algorithm focused on efficiently discovering association rules in large datasets while addressing performance challenges faced by traditional mining methods. It utilizes a sampling technique and a two-phase process to generate candidate itemsets from a sample and then verifies them against the entire dataset, significantly reducing the number of database scans needed. RARM is designed to optimize memory usage, making it suitable for environments with limited resources. This algorithm is particularly effective for real-time applications, such as market basket analysis, where quick and efficient rule discovery is essential.",Alphanumeric,1,0,0,0
ABC-RuleMiner,"This algorithm effectively identifies the redundancy in associations by taking into account the impact or precedence of the related contextual features and discovers a set of non redundant association rules. This algorithm fIrst constructs an association generation tree (AGT), a top-down approach, and then extracts the association rules through traversing the tree.",Alphanumeric,1,0,0,0
